"Rank","PlayerID","PageRank","ScaledScore","Iterations"
1,"5044788, 5055369",0.0454537102478484,454.537102478484,41
2,"5045115, 5045116",0.0398152660764726,398.152660764726,41
3,"5004093, 5044848",0.0380591551807639,380.591551807639,41
4,"5006605, 5031499",0.026770505944433,267.70505944433,41
5,"5046051, 5050280",0.0261981205445087,261.981205445087,41
6,"5040752, 5043020",0.0228783757265901,228.783757265901,41
7,"5043417, 5051928",0.022031549484318,220.31549484318,41
8,"5043417, 5051706",0.0213863032806789,213.863032806789,41
9,"5015808, 5047031",0.0194221655601592,194.221655601592,41
10,"5041519, 5043635",0.0190134583558088,190.134583558088,41
11,"5006258, 5026420",0.0181478769360796,181.478769360796,41
12,"5016626, 5054040",0.0174836779109978,174.836779109978,41
13,"5017336, 5020571",0.0136195205790184,136.195205790184,41
14,"5041012, 5051593",0.0133249882633547,133.249882633547,41
15,"5044101, 5044112",0.0122264463054942,122.264463054942,41
16,"5016626, 5045359",0.0121633239017189,121.633239017189,41
17,"5015808, 5055740",0.0118835308658114,118.835308658114,41
18,"5015732, 5055369",0.0114492970609104,114.492970609104,41
19,"5028776, 5031446",0.0113338978011483,113.338978011483,41
20,"5009463, 5023439",0.0109990231269015,109.990231269015,41
21,"5026089, 5039519",0.0108461763988268,108.461763988268,41
22,"5047936, 5055359",0.0105397209779006,105.397209779006,41
23,"5034340, 5049774",0.0100615820224289,100.615820224289,41
24,"5009052, 5012279",0.00963839609294051,96.3839609294051,41
25,"5009052, 5038781",0.00943160142876131,94.3160142876131,41
26,"5002888, 5055093",0.00900954949913639,90.0954949913639,41
27,"5009052, 5040919",0.00857038055106512,85.7038055106512,41
28,"5023879, 5050327",0.00820710693049433,82.0710693049433,41
29,"5045109, 5050019",0.00810816407137663,81.0816407137663,41
30,"5040186, 5040751",0.00809599180021586,80.9599180021586,41
31,"5017463, 5051593",0.00803301743742832,80.3301743742832,41
32,"5012279, 5050327",0.00720195369110401,72.01953691104,41
33,"5047055, 5050074",0.00707608389217212,70.7608389217212,41
34,"5000445, 5041477",0.00697072538679782,69.7072538679782,41
35,"5017347, 5036000",0.00683400690370673,68.3400690370673,41
36,"5040348, 5040752",0.0068009680874777,68.009680874777,41
